Frequency (GHz),B Field (mT)
-3.0544686309718756,0.8728392247016274
-3.097715548483883,0.871044856528029
-2.967974795947857,0.8714934485714286
-2.967974795947857,0.8714934485714286
-2.967974795947857,0.8714934485714286
-2.967974795947857,0.8714934485714286
-2.967974795947857,0.8714934485714286
-2.967974795947857,0.8714934485714286
-2.967974795947857,0.8714934485714286
-2.967974795947857,0.8714934485714286
-2.967974795947857,0.8714934485714286
-2.967974795947857,0.8714934485714286
-2.967974795947857,0.8714934485714286
-2.967974795947857,0.8714934485714286
-2.967974795947857,0.8714934485714286
-2.967974795947857,0.8714934485714286
-2.967974795947857,0.8714934485714286
-1.6489438118315611,0.8679047122242315
-1.6489438118315611,0.8459237020976492
-2.232777198243692,0.8216997317540687
-1.5041747554601095,0.6002366828571429
-0.7556787306209998,0.5639770133333335
-0.8207653414765765,0.5826674614285715
-0.8858519523321498,0.6062432542857144
-0.8858519523321498,0.6231417419047619
-0.9183952577599364,0.6349696821428572
-0.9183952577599364,0.644124698095238
-0.9183952577599364,0.6442448295238096
-1.0485684794710863,0.6400402295238096
-1.1136550903266595,0.6400402295238096
-1.1461983957544497,0.6450757385714285
-1.1461983957544497,0.6391993095238094
